InvoiceNo,InvoiceDate,CustomerID,CustomerSince,Country,PaymentMethod,Channel,StockCode,Description,Category,SubCategory,Quantity,UnitPrice,DiscountPct,PromoCode,TotalAmount
INV100235,2023-07-11 14:53:08,C1080,2019-07-12,Germany,Debit Card,Online,P001,Wireless Mouse,Electronics,Accessories,2,14.1,0.15,,23.97
INV100101,2023-02-14 21:16:15,C1038,2020-01-21,United Kingdom,PayPal,Online,P012,Pen Set,Office Supplies,Stationery,1,88.22,0.05,NEW10,83.809
INV100986,2022-01-12 03:34:17,C1291,2018-07-25,Spain,Debit Card,Offline,P019,Planner 2024,Office Supplies,Stationery,3,136.97,0.05,WELCOME5,390.36449999999996
INV100902,2023-03-03 05:47:07,C1142,2020-01-01,Australia,Debit Card,Online,P006,Mechanical Keyboard,Electronics,Accessories,4,47.71,0.0,NEW10,190.84
INV100947,2024-07-03 23:04:43,C1229,2022-11-21,Australia,Credit Card,Online,P011,Desk Lamp,Home,Lighting,2,83.71,0.0,WELCOME5,167.42
INV100346,2022-03-11 07:47:26,C1295,2019-07-22,Australia,Debit Card,Offline,P005,Office Chair,Furniture,Seating,3,42.19,0.0,SUMMER20,126.57
INV100139,2023-11-28 09:38:34,C1314,2022-12-07,France,Debit Card,Offline,P020,HDMI Cable,Electronics,Accessories,7,145.37,0.2,,814.0720000000001
INV100621,2023-11-22 00:35:58,C1007,2021-09-09,United States,Credit Card,Online,P005,Office Chair,Furniture,Seating,1,42.19,0.25,,31.6425
INV100499,2023-01-06 16:55:54,C1041,2019-01-03,United Kingdom,Credit Card,Online,P018,Mouse Pad,Accessories,Accessories,1,130.35,0.1,,117.315
INV100370,2022-07-05 02:17:43,C1133,2020-04-28,United States,PayPal,Offline,P016,Coffee Mug,Home,Kitchen,3,119.76,0.0,,359.28000000000003
INV100198,2022-03-17 23:48:19,C1377,2018-04-24,United Kingdom,Credit Card,Online,P004,Notebook,Office Supplies,Stationery,3,32.42,0.0,,97.26
INV100687,2024-07-27 19:36:38,C1009,2022-12-02,United Kingdom,Credit Card,Offline,P002,USB-C Cable,Electronics,Accessories,6,21.12,0.1,,114.048
INV100584,2022-08-29 10:40:34,C1041,2019-10-24,France,PayPal,Online,P004,Notebook,Office Supplies,Stationery,1,32.42,0.2,,25.936000000000003
INV100901,2023-07-01 02:38:36,C1083,2019-03-29,United Kingdom,Debit Card,Offline,P019,Planner 2024,Office Supplies,Stationery,1,136.97,0.05,NEW10,130.1215
INV100059,2022-12-14 21:53:13,C1344,2020-11-04,Germany,Bank Transfer,Offline,P010,Monitor 24in,Electronics,Displays,6,73.71,0.0,SUMMER20,442.26
INV100328,2024-02-19 21:33:37,C1388,2021-05-01,Spain,Debit Card,Offline,P014,Smart Speaker,Electronics,Audio,5,102.93,0.0,,514.6500000000001
INV100096,2023-01-26 21:52:53,C1007,2018-09-18,India,Debit Card,Online,P002,USB-C Cable,Electronics,Accessories,2,21.12,0.0,WELCOME5,42.24
INV100312,2022-08-15 20:26:01,C1007,2020-07-24,Australia,Credit Card,Online,P009,External HDD,Electronics,Storage,3,66.06,0.0,NEW10,198.18
INV100974,2024-01-18 20:54:56,C1271,2021-07-10,France,PayPal,Offline,P009,External HDD,Electronics,Storage,4,66.06,0.1,VIP15,237.816
INV100299,2023-04-15 01:17:26,C1160,2019-10-16,United Kingdom,PayPal,Offline,P018,Mouse Pad,Accessories,Accessories,5,130.35,0.0,,651.75
INV100277,2024-06-27 04:34:05,C1051,2022-03-08,United States,Credit Card,Online,P015,Tablet 10in,Electronics,Computing,3,112.27,0.0,,336.81
INV100924,2022-03-19 08:31:06,C1176,2018-02-12,Spain,Credit Card,Offline,P010,Monitor 24in,Electronics,Displays,3,73.71,0.0,,221.13
INV100601,2022-04-17 01:32:30,C1374,2018-07-20,United Kingdom,Credit Card,Online,P018,Mouse Pad,Accessories,Accessories,4,130.35,0.0,,521.4
INV100439,2022-02-03 17:26:42,C1359,2018-04-12,United Kingdom,Debit Card,Online,P019,Planner 2024,Office Supplies,Stationery,9,136.97,0.15,,1047.8205
INV100837,2023-10-02 19:07:28,C1135,2019-02-11,United States,Debit Card,Offline,P010,Monitor 24in,Electronics,Displays,2,73.71,0.15,,125.30699999999999
INV100570,2022-02-12 11:59:20,C1076,2020-04-18,France,Credit Card,Online,P016,Coffee Mug,Home,Kitchen,2,119.76,0.0,,239.52
INV100879,2022-05-03 20:23:13,C1105,2019-07-06,United States,Credit Card,Online,P013,Backpack,Accessories,Bags,3,96.99,0.0,,290.96999999999997
INV100261,2022-09-26 19:29:44,C1060,2018-09-14,Spain,PayPal,Offline,P008,Webcam,Electronics,Accessories,2,62.13,0.15,NEW10,105.621
INV100578,2023-10-03 11:43:30,C1200,2019-01-22,United Kingdom,PayPal,Online,P008,Webcam,Electronics,Accessories,3,62.13,0.3,,130.473
INV100023,2023-06-21 04:04:05,C1297,2020-01-07,United Kingdom,PayPal,Online,P015,Tablet 10in,Electronics,Computing,1,112.27,0.2,,89.816
INV100030,2024-01-23 23:04:43,C1135,2018-03-09,United States,Credit Card,Offline,P007,Headphones,Electronics,Audio,4,53.87,0.2,NEW10,172.38400000000001
INV100617,2023-09-20 03:17:36,C1013,2018-06-14,Spain,Cash,Online,P016,Coffee Mug,Home,Kitchen,2,119.76,0.0,,239.52
INV100010,2024-05-22 18:09:43,C1066,2019-10-08,United Kingdom,Credit Card,Online,P008,Webcam,Electronics,Accessories,2,62.13,0.0,,124.26
INV100221,2024-08-19 22:51:37,C1385,2020-11-08,India,Credit Card,Offline,P002,USB-C Cable,Electronics,Accessories,4,21.12,0.0,,84.48
INV100820,2022-10-13 07:07:31,C1273,2019-07-14,France,Credit Card,Online,P001,Wireless Mouse,Electronics,Accessories,2,14.1,0.0,NEW10,28.2
INV100296,2024-11-19 12:51:18,C1088,2020-07-15,Germany,PayPal,Online,P020,HDMI Cable,Electronics,Accessories,2,145.37,0.15,,247.129
INV100054,2023-06-02 01:02:22,C1078,2019-05-10,United Kingdom,Credit Card,Online,P010,Monitor 24in,Electronics,Displays,1,73.71,0.1,VIP15,66.339
INV100542,2023-01-28 06:25:37,C1238,2018-07-31,United Kingdom,Debit Card,Online,P009,External HDD,Electronics,Storage,5,66.06,0.0,,330.3
INV100209,2024-09-29 17:13:49,C1228,2021-05-01,United Kingdom,Credit Card,Online,P018,Mouse Pad,Accessories,Accessories,1,130.35,0.0,,130.35
INV100604,2024-05-08 22:43:30,C1008,2020-02-01,United States,Credit Card,Online,P001,Wireless Mouse,Electronics,Accessories,4,14.1,0.15,,47.94
INV100692,2024-11-09 05:44:38,C1197,2020-02-03,Germany,Debit Card,Online,P011,Desk Lamp,Home,Lighting,3,83.71,0.1,,226.017
INV100662,2023-05-17 06:12:54,C1332,2019-06-23,United Kingdom,Debit Card,Offline,P002,USB-C Cable,Electronics,Accessories,2,21.12,0.0,,42.24
INV100866,2022-12-19 00:49:53,C1339,2019-11-02,United Kingdom,Credit Card,Online,P001,Wireless Mouse,Electronics,Accessories,3,14.1,0.0,,42.3
INV100070,2023-06-26 02:55:14,C1248,2018-10-25,United Kingdom,Debit Card,Online,P015,Tablet 10in,Electronics,Computing,4,112.27,0.0,,449.08
INV100543,2023-04-19 02:11:44,C1006,2021-10-06,France,PayPal,Online,P007,Headphones,Electronics,Audio,3,53.87,0.25,,121.20749999999998
INV100107,2022-06-11 04:57:28,C1103,2018-02-09,France,Credit Card,Offline,P015,Tablet 10in,Electronics,Computing,3,112.27,0.0,,336.81
INV100493,2024-01-02 03:11:59,C1284,2018-05-05,United Kingdom,Cash,Online,P007,Headphones,Electronics,Audio,2,53.87,0.0,,107.74
INV100590,2022-07-06 10:28:55,C1324,2018-12-09,India,Bank Transfer,Online,P016,Coffee Mug,Home,Kitchen,3,119.76,0.0,,359.28000000000003
INV100741,2022-08-07 18:00:47,C1337,2020-12-19,United States,Debit Card,Online,P003,Laptop Stand,Electronics,Accessories,3,27.94,0.0,SUMMER20,83.82000000000001
INV100292,2022-01-30 09:07:53,C1005,2019-03-08,Australia,PayPal,Offline,P017,Standing Desk,Furniture,Desks,4,126.42,0.25,,379.26
INV100289,2023-06-10 15:52:51,C1388,2020-12-30,United Kingdom,Credit Card,Online,P003,Laptop Stand,Electronics,Accessories,2,27.94,0.0,,55.88
INV100652,2022-01-17 22:06:26,C1379,2019-06-06,France,Credit Card,Online,P016,Coffee Mug,Home,Kitchen,4,119.76,0.2,,383.232
INV100039,2023-12-16 11:01:53,C1015,2018-08-30,Germany,Credit Card,Offline,P020,HDMI Cable,Electronics,Accessories,9,145.37,0.0,VIP15,1308.33
INV100589,2024-10-17 20:35:49,C1270,2022-08-24,France,Credit Card,Offline,P013,Backpack,Accessories,Bags,3,96.99,0.0,,290.96999999999997
INV100307,2023-07-19 11:56:02,C1237,2018-03-22,Australia,Credit Card,Online,P010,Monitor 24in,Electronics,Displays,3,73.71,0.25,,165.8475
INV100679,2022-04-23 04:07:57,C1283,2020-02-08,United States,Credit Card,Online,P010,Monitor 24in,Electronics,Displays,2,73.71,0.0,,147.42
INV100066,2022-03-08 00:44:32,C1162,2018-06-01,United Kingdom,Debit Card,Online,P008,Webcam,Electronics,Accessories,4,62.13,0.2,,198.81600000000003
INV100275,2023-06-18 16:35:38,C1356,2019-02-28,France,Credit Card,Online,P002,USB-C Cable,Electronics,Accessories,3,21.12,0.0,SUMMER20,63.36
INV100067,2024-02-22 08:40:46,C1225,2018-07-16,United Kingdom,Credit Card,Offline,P016,Coffee Mug,Home,Kitchen,3,119.76,0.2,,287.42400000000004
INV100318,2023-07-22 17:57:08,C1078,2019-05-07,United States,Debit Card,Offline,P018,Mouse Pad,Accessories,Accessories,3,130.35,0.0,,391.04999999999995
INV100548,2022-09-05 04:13:28,C1210,2021-08-05,United Kingdom,Credit Card,Offline,P001,Wireless Mouse,Electronics,Accessories,4,14.1,0.0,NEW10,56.4
INV100998,2024-02-26 13:57:17,C1112,2018-04-12,Germany,Debit Card,Online,P006,Mechanical Keyboard,Electronics,Accessories,3,47.71,0.0,,143.13
INV100714,2023-04-04 12:20:58,C1129,2018-07-23,India,Debit Card,Online,P012,Pen Set,Office Supplies,Stationery,4,88.22,0.0,,352.88
INV100753,2022-05-24 06:59:02,C1067,2021-12-26,United Kingdom,Credit Card,Online,P010,Monitor 24in,Electronics,Displays,1,73.71,0.0,SUMMER20,73.71
INV100327,2022-07-11 16:58:41,C1288,2018-03-03,United Kingdom,PayPal,Online,P016,Coffee Mug,Home,Kitchen,2,119.76,0.05,SUMMER20,227.544
INV100382,2024-05-28 03:51:15,C1175,2018-12-26,United Kingdom,Credit Card,Offline,P014,Smart Speaker,Electronics,Audio,2,102.93,0.0,,205.86
INV100451,2022-12-27 01:15:34,C1256,2021-06-20,India,Bank Transfer,Offline,P003,Laptop Stand,Electronics,Accessories,1,27.94,0.1,WELCOME5,25.146
INV100522,2024-05-03 12:32:23,C1072,2020-12-30,United States,Credit Card,Online,P001,Wireless Mouse,Electronics,Accessories,2,14.1,0.1,NEW10,25.38
INV100218,2023-07-05 00:20:42,C1189,2018-11-02,United Kingdom,Credit Card,Online,P016,Coffee Mug,Home,Kitchen,2,119.76,0.1,,215.568
INV100787,2022-02-04 02:55:06,C1143,2018-06-25,United States,Bank Transfer,Online,P006,Mechanical Keyboard,Electronics,Accessories,2,47.71,0.1,SUMMER20,85.878
INV100436,2024-04-08 16:32:20,C1104,2023-02-17,United Kingdom,Credit Card,Offline,P008,Webcam,Electronics,Accessories,2,62.13,0.0,NEW10,124.26
INV100764,2022-11-28 01:13:09,C1240,2019-08-13,United Kingdom,Credit Card,Offline,P009,External HDD,Electronics,Storage,3,66.06,0.0,,198.18
INV100088,2024-06-03 21:15:42,C1278,2020-10-16,India,Credit Card,Online,P005,Office Chair,Furniture,Seating,4,42.19,0.0,NEW10,168.76
INV100063,2022-09-23 02:11:29,C1121,2021-07-29,United Kingdom,Credit Card,Online,P015,Tablet 10in,Electronics,Computing,2,112.27,0.05,,213.313
INV100826,2024-09-15 16:43:19,C1313,2022-12-28,United Kingdom,Credit Card,Online,P014,Smart Speaker,Electronics,Audio,4,102.93,0.0,,411.72
INV100716,2022-05-31 01:18:15,C1193,2018-10-08,Australia,Credit Card,Offline,P002,USB-C Cable,Electronics,Accessories,2,21.12,0.0,,42.24
INV100351,2023-05-16 20:17:45,C1339,2018-03-19,United Kingdom,Credit Card,Online,P020,HDMI Cable,Electronics,Accessories,1,145.37,0.0,NEW10,145.37
INV100936,2022-11-11 07:51:57,C1278,2020-03-14,United States,Credit Card,Offline,P004,Notebook,Office Supplies,Stationery,4,32.42,0.0,,129.68
INV100256,2024-03-05 08:38:58,C1185,2022-05-27,United Kingdom,PayPal,Online,P004,Notebook,Office Supplies,Stationery,8,32.42,0.0,,259.36
INV100635,2024-02-23 16:29:11,C1126,2022-03-15,United Kingdom,Debit Card,Online,P013,Backpack,Accessories,Bags,4,96.99,0.1,,349.164
INV100644,2024-06-05 16:08:52,C1270,2020-07-10,United Kingdom,Credit Card,Online,P002,USB-C Cable,Electronics,Accessories,4,21.12,0.15,,71.808
INV100554,2023-09-16 12:45:19,C1213,2020-04-26,United States,Debit Card,Online,P015,Tablet 10in,Electronics,Computing,2,112.27,0.15,SUMMER20,190.85899999999998
INV100959,2024-02-08 08:55:17,C1149,2020-08-01,United Kingdom,Credit Card,Online,P018,Mouse Pad,Accessories,Accessories,2,130.35,0.0,,260.7
INV100168,2024-03-28 07:28:39,C1199,2021-08-09,India,PayPal,Offline,P005,Office Chair,Furniture,Seating,1,42.19,0.0,NEW10,42.19
INV100917,2024-10-17 02:30:57,C1002,2020-10-17,Germany,Debit Card,Online,P001,Wireless Mouse,Electronics,Accessories,5,14.1,0.05,SUMMER20,66.975
INV100528,2022-11-01 09:29:24,C1044,2019-01-12,United Kingdom,Credit Card,Offline,P004,Notebook,Office Supplies,Stationery,2,32.42,0.1,,58.356
INV100823,2022-03-28 10:44:24,C1269,2019-06-04,Australia,Debit Card,Online,P012,Pen Set,Office Supplies,Stationery,3,88.22,0.0,,264.65999999999997
INV100985,2024-12-30 04:12:28,C1269,2021-04-01,France,PayPal,Online,P001,Wireless Mouse,Electronics,Accessories,5,14.1,0.15,NEW10,59.925
INV100816,2023-11-13 22:25:33,C1330,2018-05-31,United States,Credit Card,Online,P006,Mechanical Keyboard,Electronics,Accessories,5,47.71,0.0,,238.55
INV100086,2022-12-31 13:22:39,C1069,2019-05-09,United Kingdom,Bank Transfer,Online,P003,Laptop Stand,Electronics,Accessories,1,27.94,0.0,,27.94
INV100432,2023-05-27 08:37:59,C1070,2020-07-05,India,Credit Card,Online,P019,Planner 2024,Office Supplies,Stationery,3,136.97,0.0,,410.90999999999997
INV100184,2023-11-16 01:56:52,C1276,2020-09-26,United Kingdom,Bank Transfer,Online,P006,Mechanical Keyboard,Electronics,Accessories,3,47.71,0.15,,121.6605
INV100978,2022-05-18 09:56:47,C1316,2020-02-13,United Kingdom,Debit Card,Online,P009,External HDD,Electronics,Storage,3,66.06,0.0,,198.18
INV100534,2022-10-06 21:03:52,C1361,2020-03-24,United Kingdom,Bank Transfer,Offline,P019,Planner 2024,Office Supplies,Stationery,2,136.97,0.0,,273.94
INV100294,2023-03-10 14:42:56,C1204,2020-04-10,United States,Debit Card,Offline,P003,Laptop Stand,Electronics,Accessories,1,27.94,0.0,,27.94
INV100892,2024-08-31 01:28:48,C1265,2022-11-15,Spain,Credit Card,Online,P017,Standing Desk,Furniture,Desks,2,126.42,0.0,,252.84
INV100425,2023-01-07 19:05:45,C1108,2020-04-04,Germany,Credit Card,Online,P010,Monitor 24in,Electronics,Displays,1,73.71,0.0,,73.71
INV100713,2022-04-12 09:35:10,C1241,2019-03-16,United Kingdom,Debit Card,Online,P009,External HDD,Electronics,Storage,6,66.06,0.0,,396.36
INV100260,2024-07-18 09:32:04,C1164,2020-06-08,United Kingdom,Credit Card,Online,P020,HDMI Cable,Electronics,Accessories,6,145.37,0.2,,697.7760000000001
INV100237,2024-04-20 15:05:08,C1018,2018-02-04,Spain,PayPal,Online,P011,Desk Lamp,Home,Lighting,5,83.71,0.0,,418.54999999999995
INV100559,2022-07-10 13:07:30,C1065,2019-07-31,United Kingdom,Debit Card,Online,P003,Laptop Stand,Electronics,Accessories,3,27.94,0.0,SUMMER20,83.82000000000001
INV100583,2022-12-12 14:54:59,C1320,2021-01-13,United Kingdom,PayPal,Online,P009,External HDD,Electronics,Storage,4,66.06,0.0,,264.24
INV100445,2023-11-05 04:12:58,C1297,2021-08-28,Germany,Credit Card,Online,P011,Desk Lamp,Home,Lighting,1,83.71,0.0,,83.71
INV100867,2022-05-20 21:57:09,C1323,2020-02-22,Spain,Bank Transfer,Online,P008,Webcam,Electronics,Accessories,7,62.13,0.0,WELCOME5,434.91
INV100800,2022-10-27 09:35:30,C1167,2019-02-01,United Kingdom,Cash,Online,P020,HDMI Cable,Electronics,Accessories,2,145.37,0.2,WELCOME5,232.592
INV100599,2024-04-20 18:02:35,C1104,2021-04-14,United States,PayPal,Online,P002,USB-C Cable,Electronics,Accessories,3,21.12,0.05,WELCOME5,60.192
INV100849,2022-11-14 01:58:05,C1275,2019-10-05,France,Credit Card,Online,P017,Standing Desk,Furniture,Desks,4,126.42,0.05,VIP15,480.39599999999996
INV100265,2023-05-01 06:46:36,C1224,2020-01-24,United States,Debit Card,Online,P001,Wireless Mouse,Electronics,Accessories,2,14.1,0.0,VIP15,28.2
INV100995,2024-09-29 14:46:15,C1218,2020-01-06,India,Credit Card,Online,P003,Laptop Stand,Electronics,Accessories,4,27.94,0.0,VIP15,111.76
INV100529,2024-01-23 19:33:18,C1392,2019-02-06,United Kingdom,Debit Card,Online,P006,Mechanical Keyboard,Electronics,Accessories,1,47.71,0.25,VIP15,35.7825
INV100055,2024-02-05 07:56:00,C1072,2022-09-29,India,Credit Card,Online,P004,Notebook,Office Supplies,Stationery,2,32.42,0.0,,64.84
INV100120,2024-08-12 18:50:31,C1134,2018-06-03,India,Debit Card,Offline,P007,Headphones,Electronics,Audio,2,53.87,0.05,,102.353
INV100215,2022-06-02 10:33:42,C1330,2019-12-04,India,Credit Card,Offline,P003,Laptop Stand,Electronics,Accessories,1,27.94,0.0,,27.94
INV100025,2022-08-16 14:06:17,C1367,2019-03-07,United Kingdom,Debit Card,Offline,P012,Pen Set,Office Supplies,Stationery,6,88.22,0.05,SUMMER20,502.8539999999999
INV100072,2023-11-18 19:24:05,C1209,2019-10-22,United Kingdom,Credit Card,Offline,P009,External HDD,Electronics,Storage,5,66.06,0.0,,330.3
INV100044,2024-03-10 13:43:22,C1391,2022-08-23,United Kingdom,Credit Card,Online,P015,Tablet 10in,Electronics,Computing,2,112.27,0.0,,224.54
INV100247,2023-12-22 13:32:43,C1102,2021-01-31,Spain,Bank Transfer,Online,P018,Mouse Pad,Accessories,Accessories,1,130.35,0.05,,123.83249999999998
INV100721,2022-03-11 14:40:02,C1000,2019-04-09,India,PayPal,Online,P015,Tablet 10in,Electronics,Computing,5,112.27,0.05,,533.2825
INV100281,2024-05-21 19:59:25,C1365,2022-05-15,United Kingdom,Debit Card,Offline,P019,Planner 2024,Office Supplies,Stationery,2,136.97,0.0,SUMMER20,273.94
INV100893,2023-05-08 04:54:47,C1381,2018-10-29,Germany,Credit Card,Offline,P001,Wireless Mouse,Electronics,Accessories,3,14.1,0.0,,42.3
INV100914,2022-12-12 18:56:04,C1042,2018-04-22,United Kingdom,PayPal,Online,P007,Headphones,Electronics,Audio,9,53.87,0.0,WELCOME5,484.83
INV100810,2024-06-16 12:52:35,C1330,2023-08-06,United Kingdom,Credit Card,Offline,P011,Desk Lamp,Home,Lighting,4,83.71,0.15,,284.614
INV100244,2024-06-22 16:31:53,C1060,2021-06-04,Spain,Debit Card,Online,P003,Laptop Stand,Electronics,Accessories,2,27.94,0.1,,50.292
INV100822,2024-10-01 18:20:58,C1238,2020-04-14,Spain,Credit Card,Offline,P017,Standing Desk,Furniture,Desks,1,126.42,0.0,,126.42
INV100321,2022-12-02 06:21:43,C1201,2020-09-30,United Kingdom,Credit Card,Online,P004,Notebook,Office Supplies,Stationery,3,32.42,0.0,WELCOME5,97.26
INV100643,2022-03-19 15:50:57,C1064,2019-06-05,United States,Credit Card,Offline,P007,Headphones,Electronics,Audio,1,53.87,0.2,,43.096000000000004
INV100158,2022-02-06 02:55:31,C1039,2019-05-14,United Kingdom,Credit Card,Online,P009,External HDD,Electronics,Storage,2,66.06,0.05,,125.514
INV100977,2023-04-07 02:15:55,C1115,2020-10-28,United Kingdom,PayPal,Online,P008,Webcam,Electronics,Accessories,2,62.13,0.05,,118.047
INV100429,2024-05-23 12:11:26,C1302,2022-02-21,United Kingdom,Credit Card,Offline,P012,Pen Set,Office Supplies,Stationery,2,88.22,0.05,WELCOME5,167.618
INV100941,2023-07-24 04:34:25,C1317,2018-12-04,United Kingdom,Credit Card,Online,P019,Planner 2024,Office Supplies,Stationery,2,136.97,0.0,VIP15,273.94
INV100462,2023-09-15 19:00:28,C1081,2021-06-22,United Kingdom,Credit Card,Offline,P013,Backpack,Accessories,Bags,4,96.99,0.0,,387.96
INV100309,2024-07-11 14:44:21,C1119,2020-04-12,United Kingdom,Credit Card,Offline,P017,Standing Desk,Furniture,Desks,2,126.42,0.25,,189.63
INV100697,2024-05-16 16:20:00,C1292,2020-11-11,Australia,Bank Transfer,Offline,P016,Coffee Mug,Home,Kitchen,1,119.76,0.0,,119.76
INV100060,2022-03-08 16:39:23,C1102,2018-07-14,France,Credit Card,Online,P004,Notebook,Office Supplies,Stationery,5,32.42,0.0,SUMMER20,162.10000000000002
INV100884,2023-03-18 23:50:45,C1087,2020-12-01,United Kingdom,Debit Card,Offline,P007,Headphones,Electronics,Audio,3,53.87,0.0,,161.60999999999999
INV100595,2023-01-16 00:31:10,C1070,2020-03-05,Australia,Debit Card,Online,P018,Mouse Pad,Accessories,Accessories,4,130.35,0.0,,521.4
INV100767,2022-05-18 09:10:09,C1330,2019-02-22,United States,Credit Card,Offline,P015,Tablet 10in,Electronics,Computing,2,112.27,0.0,,224.54
INV100649,2024-05-13 18:35:23,C1342,2019-02-02,United Kingdom,Credit Card,Online,P012,Pen Set,Office Supplies,Stationery,3,88.22,0.15,,224.96099999999996
INV100650,2022-08-27 14:54:33,C1104,2018-10-27,Spain,Debit Card,Online,P005,Office Chair,Furniture,Seating,3,42.19,0.0,,126.57
INV100865,2023-10-01 17:38:03,C1212,2021-12-18,United Kingdom,Debit Card,Offline,P003,Laptop Stand,Electronics,Accessories,12,27.94,0.0,,335.28000000000003
INV100668,2023-05-29 01:42:17,C1027,2020-09-25,United States,Credit Card,Online,P019,Planner 2024,Office Supplies,Stationery,4,136.97,0.0,,547.88
INV100298,2024-01-01 12:15:47,C1166,2020-03-28,United Kingdom,Credit Card,Online,P003,Laptop Stand,Electronics,Accessories,2,27.94,0.15,,47.498
INV100689,2022-08-27 01:52:45,C1204,2021-09-11,United Kingdom,Credit Card,Online,P011,Desk Lamp,Home,Lighting,4,83.71,0.25,NEW10,251.13
INV100314,2024-01-16 06:34:43,C1386,2022-04-06,Germany,PayPal,Online,P016,Coffee Mug,Home,Kitchen,2,119.76,0.0,,239.52
INV100310,2022-12-23 04:36:06,C1339,2020-07-05,United Kingdom,Debit Card,Online,P008,Webcam,Electronics,Accessories,6,62.13,0.0,WELCOME5,372.78000000000003
INV100361,2023-01-15 15:41:27,C1215,2018-05-23,United States,Debit Card,Online,P017,Standing Desk,Furniture,Desks,1,126.42,0.0,,126.42
